stockNum,askPrice,isNew,color,brandName,modelName,vf_WheelSizeFront,vf_WheelSizeRear,vf_Wheels,vf_Windows
C180880,16304,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181010,19385,True,Cajun Red Tintcoat,CHEVROLET,Malibu,17,17,4,4
C181328,16716,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C180620,14611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180606,14750,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181324,16716,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181336,16716,True,Silver Ice Metallic,CHEVROLET,Malibu,16,16,4,4
CD102156,0,True,Black,CHEVROLET,Impala,18,18,4,4
C181120,10640,True,Summit White,CHEVROLET,Spark,15,15,4,4
C181308,20982,True,Summit White,CHEVROLET,Malibu,17,17,4,4
C181197,14611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181346,19335,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C181352,15152,True,Graphite,CHEVROLET,Cruze,16,16,4,4
C181223,29435,True,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
C181345,20365,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C181118,13480,True,Mosaic Black,CHEVROLET,Spark,15,15,4,4
C180782,19237,True,Cajun Red Tintcoat,CHEVROLET,Malibu,17,17,4,4
C180872,15235,True,Pepperdust,CHEVROLET,Cruze,16,16,4,4
180355,95007,True,Phantom Gray,CADILLAC,CTS,19,19,4,4
CP6187,12990,False,Graphite Silver Metallic,CHEVROLET,Sonic,15,15,4,4
C181348,15424,True,Blue Metallic,CHEVROLET,Sonic,15,15,4,4
180622,38115,True,White Frost,BUICK,LaCrosse,18,18,4,4
C181369,20982,True,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
C181064,15128,True,Mosaic Black,CHEVROLET,Sonic,15,15,4,4
C180973,13208,True,Mosaic Black,CHEVROLET,Sonic,15,15,4,4
C181340,15424,True,Red Tintcoat,CHEVROLET,Sonic,15,15,4,4
C181318,15991,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
C180800,14611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C180632,17067,True,Graphite,CHEVROLET,Cruze,16,16,4,4
C181058,15424,True,Blue Metallic,CHEVROLET,Sonic,15,15,4,4
C181128,13480,True,Mosaic Black,CHEVROLET,Spark,15,15,4,4
C181104,13480,True,Toasted Marshmallow,CHEVROLET,Spark,15,15,4,4
C181339,19335,True,Summit White,CHEVROLET,Malibu,17,17,4,4
C181341,15128,True,Red,CHEVROLET,Sonic,15,15,4,4
C181349,15128,True,Nightfall Gray,CHEVROLET,Sonic,15,15,4,4
C181350,15424,True,Blue Metallic,CHEVROLET,Sonic,15,15,4,4
C180320,17461,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C170308,15344,True,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,6
C181355,16716,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C181377,20982,True,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
C180673,13142,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181243,14611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180641,14611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C180638,14691,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
180804,48802,True,Crystal White Tricoat,CADILLAC,CTS,17,17,4,4
C180578,14716,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C180742,14611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C180621,14611,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C181381,21482,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C190054,13351,True,Passion Fruit,CHEVROLET,Spark,15,15,4,4
C180987,28298,True,Iridescent Pearl Tricoat,CHEVROLET,Malibu,18,18,4,4
180104,35456,True,Black Metallic,CADILLAC,ATS,17,17,4,4
C181382,21482,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C181363,17216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
CD106403,0,True,Black,BUICK,LaCrosse,18,18,4,4
CD105649,0,True,Quartz,BUICK,LaCrosse,18,18,4,4
C180758,14611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C181398,17216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C180643,14816,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C181353,18216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181364,18216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181351,15600,True,Silver Ice,CHEVROLET,Sonic,15,15,4,4
C190008A,14611,False,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180246,14751,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C181204,14611,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C181366,18216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
180160,37618,True,Red Obsession Tintcoat,CADILLAC,ATS,17,17,4,4
C180803,17054,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180835,14361,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
